rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0022.jpg,8.8,0.7,0.0,0.0,1.0,0,0,True,True
2,frame_0291.jpg,116.4,0.6821,0.5996,0.7143,0.84,6,5,False,True
3,frame_0031.jpg,12.4,0.6575,0.5721,0.5714,1.0,4,4,False,True
4,frame_0123.jpg,49.2,0.6467,0.866,0.2857,0.64,4,2,False,True
5,frame_0029.jpg,11.6,0.6433,0.5438,0.5714,1.0,5,4,False,False
6,frame_0295.jpg,118.0,0.6387,0.8339,0.2857,0.68,3,2,False,False
7,frame_0276.jpg,110.4,0.6343,0.6583,0.8571,0.24,7,6,False,True
8,frame_0010.jpg,4.0,0.6297,0.8594,0.0,1.0,1,0,False,True
9,frame_0070.jpg,28.0,0.6295,0.6875,0.2857,1.0,4,2,False,True
10,frame_0004.jpg,1.6,0.6269,0.5966,0.4286,1.0,4,3,False,True
11,frame_0384.jpg,153.6,0.6249,0.6715,0.8571,0.16,6,6,False,True
12,frame_0170.jpg,68.0,0.619,0.7032,0.5714,0.48,7,4,False,True
13,frame_0317.jpg,126.8,0.5983,0.7737,0.5714,0.2,5,4,False,True
14,frame_0073.jpg,29.2,0.5899,0.6084,0.2857,1.0,5,2,False,False
15,frame_0016.jpg,6.4,0.585,0.5129,0.4286,1.0,3,3,False,True
16,frame_0130.jpg,52.0,0.5844,0.5436,0.4286,0.92,5,3,False,False
17,frame_0129.jpg,51.6,0.5829,0.5566,0.4286,0.88,5,3,False,False
18,frame_0079.jpg,31.6,0.5822,0.4159,0.7143,0.8,5,5,False,False
19,frame_0275.jpg,110.0,0.5818,0.7407,0.5714,0.2,5,4,False,False
20,frame_0197.jpg,78.8,0.58,0.0,0.0,0.4,0,0,True,False
21,frame_0008.jpg,3.2,0.579,0.5866,0.2857,1.0,3,2,False,False
22,frame_0293.jpg,117.2,0.5741,0.5871,0.4286,0.76,4,3,False,False
23,frame_0013.jpg,5.2,0.5721,0.5728,0.2857,1.0,2,2,False,False
24,frame_0020.jpg,8.0,0.5721,0.5727,0.2857,1.0,3,2,False,False
25,frame_0290.jpg,116.0,0.569,0.5608,0.4286,0.8,5,3,False,False
26,frame_0301.jpg,120.4,0.5686,0.6184,0.5714,0.44,6,4,False,False
27,frame_0208.jpg,83.2,0.5654,0.6554,0.2857,0.76,2,2,False,False
28,frame_0002.jpg,0.8,0.5624,0.4677,0.4286,1.0,6,3,False,False
29,frame_0028.jpg,11.2,0.5573,0.5431,0.2857,1.0,3,2,False,False
30,frame_0032.jpg,12.8,0.5556,0.6254,0.1429,1.0,2,1,False,False
31,frame_0005.jpg,2.0,0.5534,0.5354,0.2857,1.0,5,2,False,False
32,frame_0216.jpg,86.4,0.5534,0.9307,0.0,0.44,2,0,False,False
33,frame_0397.jpg,158.8,0.5525,0.6822,0.5714,0.2,7,4,False,False
34,frame_0296.jpg,118.4,0.5518,0.5905,0.4286,0.64,4,3,False,False
35,frame_0169.jpg,67.6,0.5516,0.5524,0.5714,0.52,6,4,False,False
36,frame_0009.jpg,3.6,0.5514,0.5313,0.2857,1.0,2,2,False,False
37,frame_0090.jpg,36.0,0.5492,0.783,0.2857,0.36,2,2,False,False
38,frame_0000.jpg,0.0,0.5469,0.5223,0.2857,1.0,5,2,False,False
